RAJ2000,DEJ2000,_2MASS,Gaia,more,Nep,Teff,e_Teff,logg,e_logg,l_RVmean,RVmean,e_RVmean,Fbol,e_Fbol,Av,e_Av
83.7875366210938,-4.46418714523315,b'2M05350900-0427510',3209638199991213184,b'*',1,4705.6,32.4466,4.61566,0.0717531,b' ',31.8849,0.358321,4.080524,0.0,0.7,0.0500001
83.7919845581055,-4.46097803115845,b'2M05351007-0427395',3209638204289855360,b'*',1,4368.74,22.1341,4.57474,0.0758999,b' ',30.3758,0.376734,0.0,0.0,0.0,0.0
83.2124786376953,-4.46097278594971,b'2M05325099-0427395',3209812614320431488,b'*',1,7210.46,1017.01,5.39443,0.303482,b'<',1.25165,0.0,2.107125,0.047617,2.2,0.05
83.6478500366211,-4.4558629989624,b'2M05343548-0427211',3209650638216501888,b'*',1,5022.67,53.5442,4.75473,0.0752478,b' ',28.6622,0.383918,3.880846,0.0,0.45,0.0
83.6845474243164,-4.45560789108276,b'2M05344429-0427201',3209650397698333184,b' ',1,5442.26,47.2381,5.07116,0.0777508,b' ',-32.7269,0.474022,8.901433,0.0,0.35,0.0
84.1225891113281,-4.45392322540283,b'2M05362942-0427141',3215593812099521280,b'*',4,7108.64,556.735,5.43786,0.214893,b' ',20.9769,0.771686,2.398375,0.145763,1.4,0.15
82.8893356323242,-4.45276784896851,b'2M05313344-0427099',3209821444773090176,b'*',3,4770.78,46.0565,3.65658,0.0722415,b' ',84.6093,0.201026,2.185972,0.224048,3.35,0.45
83.3429489135742,-4.44440317153931,b'2M05332230-0426398',3209835223028262656,b'*',1,4517.16,22.8847,5.04019,0.0735956,b' ',16.7734,0.286735,0.973994,0.0541,0.9,0.15
83.6843414306641,-4.44400978088379,b'2M05344424-0426384',3209650573795692288,b'*',1,6304.58,1315.45,5.27361,0.378118,b' ',87.3403,0.892817,1.363981,0.08658,1.45,0.15
83.6848373413086,-4.43754911422729,b'2M05344436-0426151',3209650569497024512,b'*',5,5362.8,35.7127,3.98806,0.0665921,b' ',76.224,0.132617,3.977232,0.138328,2.0,0.0999999
83.9439926147461,-4.43686580657959,b'2M05354655-0426127',3209636829900288256,b'*',1,4277.87,20.3117,4.5607,0.0723008,b' ',29.9361,0.284097,1.154953,0.0,1.0,0.1
